row_id,orientation,series_id,fold
0,horizontal,horizontal_1,1
1,horizontal,horizontal_1,1
2,horizontal,horizontal_1,1
3,horizontal,horizontal_1,1
4,horizontal,horizontal_1,1
5,horizontal,horizontal_1,1
6,horizontal,horizontal_1,1
7,horizontal,horizontal_1,1
8,horizontal,horizontal_1,1
9,horizontal,horizontal_1,1
10,horizontal,horizontal_1,1
11,horizontal,horizontal_1,1
12,horizontal,horizontal_1,1
13,horizontal,horizontal_1,1
14,horizontal,horizontal_1,1
15,horizontal,horizontal_1,1
16,horizontal,horizontal_1,1
17,horizontal,horizontal_1,1
18,horizontal,horizontal_1,1
19,horizontal,horizontal_1,1
20,horizontal,horizontal_2,0
21,horizontal,horizontal_2,0
22,horizontal,horizontal_2,0
23,horizontal,horizontal_2,0
24,horizontal,horizontal_2,0
25,horizontal,horizontal_2,0
26,horizontal,horizontal_2,0
27,horizontal,horizontal_2,0
28,horizontal,horizontal_2,0
29,horizontal,horizontal_2,0
30,horizontal,horizontal_2,0
31,horizontal,horizontal_2,0
32,horizontal,horizontal_2,0
33,horizontal,horizontal_2,0
34,horizontal,horizontal_2,0
35,horizontal,horizontal_2,0
36,horizontal,horizontal_2,0
37,horizontal,horizontal_2,0
38,horizontal,horizontal_2,0
39,horizontal,horizontal_2,0
40,horizontal,horizontal_3,1
41,horizontal,horizontal_3,1
42,horizontal,horizontal_3,1
43,horizontal,horizontal_3,1
44,horizontal,horizontal_3,1
45,horizontal,horizontal_3,1
46,horizontal,horizontal_3,1
47,horizontal,horizontal_3,1
48,horizontal,horizontal_3,1
49,horizontal,horizontal_3,1
50,horizontal,horizontal_3,1
51,horizontal,horizontal_3,1
52,horizontal,horizontal_3,1
53,horizontal,horizontal_3,1
54,horizontal,horizontal_3,1
55,horizontal,horizontal_3,1
56,horizontal,horizontal_3,1
57,horizontal,horizontal_3,1
58,horizontal,horizontal_3,1
59,horizontal,horizontal_3,1
60,horizontal,horizontal_4,0
61,horizontal,horizontal_4,0
62,horizontal,horizontal_4,0
63,horizontal,horizontal_4,0
64,horizontal,horizontal_4,0
65,horizontal,horizontal_4,0
66,horizontal,horizontal_4,0
67,horizontal,horizontal_4,0
68,horizontal,horizontal_4,0
69,horizontal,horizontal_4,0
70,horizontal,horizontal_4,0
71,horizontal,horizontal_4,0
72,horizontal,horizontal_4,0
73,horizontal,horizontal_4,0
74,horizontal,horizontal_4,0
75,horizontal,horizontal_4,0
76,horizontal,horizontal_4,0
77,horizontal,horizontal_4,0
78,horizontal,horizontal_4,0
79,horizontal,horizontal_4,0
80,horizontal,horizontal_5,1
81,horizontal,horizontal_5,1
82,horizontal,horizontal_5,1
83,horizontal,horizontal_5,1
84,horizontal,horizontal_5,1
85,horizontal,horizontal_5,1
86,horizontal,horizontal_5,1
87,horizontal,horizontal_5,1
88,horizontal,horizontal_5,1
89,horizontal,horizontal_5,1
90,horizontal,horizontal_5,1
91,horizontal,horizontal_5,1
92,horizontal,horizontal_5,1
93,horizontal,horizontal_5,1
94,horizontal,horizontal_5,1
95,horizontal,horizontal_5,1
96,horizontal,horizontal_5,1
97,horizontal,horizontal_5,1
98,horizontal,horizontal_5,1
99,horizontal,horizontal_5,1
120,horizontal,horizontal_7,0
121,horizontal,horizontal_7,0
122,horizontal,horizontal_7,0
123,horizontal,horizontal_7,0
124,horizontal,horizontal_7,0
125,horizontal,horizontal_7,0
126,horizontal,horizontal_7,0
127,horizontal,horizontal_7,0
128,horizontal,horizontal_7,0
129,horizontal,horizontal_7,0
130,horizontal,horizontal_7,0
131,horizontal,horizontal_7,0
132,horizontal,horizontal_7,0
133,horizontal,horizontal_7,0
134,horizontal,horizontal_7,0
135,horizontal,horizontal_7,0
136,horizontal,horizontal_7,0
137,horizontal,horizontal_7,0
138,horizontal,horizontal_7,0
139,horizontal,horizontal_7,0
140,vertical,vertical_1,0
141,vertical,vertical_1,0
142,vertical,vertical_1,0
143,vertical,vertical_1,0
144,vertical,vertical_1,0
145,vertical,vertical_1,0
146,vertical,vertical_1,0
147,vertical,vertical_1,0
148,vertical,vertical_1,0
149,vertical,vertical_1,0
150,vertical,vertical_1,0
151,vertical,vertical_1,0
152,vertical,vertical_1,0
153,vertical,vertical_1,0
154,vertical,vertical_1,0
155,vertical,vertical_1,0
156,vertical,vertical_1,0
157,vertical,vertical_1,0
158,vertical,vertical_1,0
159,vertical,vertical_1,0
160,vertical,vertical_1,0
161,vertical,vertical_1,0
162,vertical,vertical_1,0
163,vertical,vertical_1,0
164,vertical,vertical_1,0
165,vertical,vertical_1,0
166,vertical,vertical_1,0
167,vertical,vertical_1,0
168,vertical,vertical_1,0
169,vertical,vertical_1,0
170,vertical,vertical_1,0
171,vertical,vertical_1,0
172,vertical,vertical_1,0
173,vertical,vertical_1,0
174,vertical,vertical_1,0
175,vertical,vertical_1,0
176,vertical,vertical_1,0
177,vertical,vertical_1,0
178,vertical,vertical_1,0
179,vertical,vertical_1,0
180,vertical,vertical_1,0
181,vertical,vertical_1,0
182,vertical,vertical_1,0
183,vertical,vertical_1,0
184,vertical,vertical_1,0
185,vertical,vertical_1,0
186,vertical,vertical_1,0
187,vertical,vertical_1,0
188,vertical,vertical_1,0
189,vertical,vertical_1,0
190,vertical,vertical_1,0
191,vertical,vertical_1,0
192,vertical,vertical_1,0
193,vertical,vertical_1,0
194,vertical,vertical_1,0
195,vertical,vertical_1,0
196,vertical,vertical_1,0
197,vertical,vertical_1,0
198,vertical,vertical_1,0
199,vertical,vertical_1,0
200,vertical,vertical_1,0
201,vertical,vertical_1,0
202,vertical,vertical_1,0
203,vertical,vertical_1,0
204,vertical,vertical_1,0
205,vertical,vertical_1,0
206,vertical,vertical_1,0
314,vertical,vertical_3,1
315,vertical,vertical_3,1
316,vertical,vertical_3,1
317,vertical,vertical_3,1
318,vertical,vertical_3,1
319,vertical,vertical_3,1
320,vertical,vertical_3,1
321,vertical,vertical_3,1
322,vertical,vertical_3,1
323,vertical,vertical_3,1
324,vertical,vertical_3,1
325,vertical,vertical_3,1
326,vertical,vertical_3,1
327,vertical,vertical_3,1
328,vertical,vertical_3,1
329,vertical,vertical_3,1
330,vertical,vertical_3,1
331,vertical,vertical_3,1
332,vertical,vertical_3,1
333,vertical,vertical_3,1
334,vertical,vertical_3,1
335,vertical,vertical_3,1
336,vertical,vertical_3,1
337,vertical,vertical_3,1
338,vertical,vertical_3,1
339,vertical,vertical_3,1
340,vertical,vertical_3,1
341,vertical,vertical_3,1
342,vertical,vertical_3,1
343,vertical,vertical_3,1
344,vertical,vertical_3,1
345,vertical,vertical_3,1
346,vertical,vertical_3,1
347,vertical,vertical_3,1
348,vertical,vertical_3,1
349,vertical,vertical_3,1
350,vertical,vertical_3,1
351,vertical,vertical_3,1
352,vertical,vertical_3,1
353,vertical,vertical_3,1
354,vertical,vertical_3,1
355,vertical,vertical_3,1
356,vertical,vertical_3,1
357,vertical,vertical_3,1
358,vertical,vertical_3,1
359,vertical,vertical_3,1
360,vertical,vertical_3,1
361,vertical,vertical_3,1
362,vertical,vertical_3,1
363,vertical,vertical_3,1
364,vertical,vertical_3,1
365,vertical,vertical_3,1
366,vertical,vertical_3,1
367,vertical,vertical_3,1
368,vertical,vertical_3,1
369,vertical,vertical_3,1
370,vertical,vertical_3,1
371,vertical,vertical_3,1
372,vertical,vertical_3,1
373,vertical,vertical_3,1
374,vertical,vertical_3,1
375,vertical,vertical_3,1
376,vertical,vertical_3,1
377,vertical,vertical_3,1
378,vertical,vertical_3,1
379,vertical,vertical_3,1
380,vertical,vertical_3,1
381,vertical,vertical_3,1
382,vertical,vertical_3,1
383,vertical,vertical_3,1
384,vertical,vertical_3,1
385,vertical,vertical_3,1
386,vertical,vertical_3,1
387,vertical,vertical_3,1
388,vertical,vertical_3,1
389,vertical,vertical_3,1
390,vertical,vertical_3,1
391,vertical,vertical_3,1
392,vertical,vertical_3,1
393,vertical,vertical_3,1
394,vertical,vertical_3,1
395,vertical,vertical_3,1
396,vertical,vertical_3,1
397,vertical,vertical_3,1
398,vertical,vertical_3,1
399,vertical,vertical_3,1
400,vertical,vertical_3,1
401,vertical,vertical_3,1
402,vertical,vertical_3,1
403,vertical,vertical_3,1
404,vertical,vertical_3,1
405,vertical,vertical_3,1
406,vertical,vertical_3,1
407,vertical,vertical_3,1
408,vertical,vertical_3,1
409,vertical,vertical_3,1
410,vertical,vertical_3,1
411,vertical,vertical_3,1
412,vertical,vertical_3,1
413,vertical,vertical_3,1
414,vertical,vertical_3,1
415,vertical,vertical_3,1
416,vertical,vertical_3,1
417,vertical,vertical_3,1
418,vertical,vertical_3,1
419,vertical,vertical_3,1
420,vertical,vertical_3,1
421,vertical,vertical_3,1
422,vertical,vertical_3,1
423,vertical,vertical_3,1
424,vertical,vertical_3,1
